phs,Fle Name,Modified Date
phs002542,rad_015_903-01_DICT_20230407_DICT_origcopy_v1.csv,05/02/2023
phs002542,rad_015_903-01_DICT_20230407_DICT_transformcopy_v1.csv,05/02/2023
phs002544,rad_018_778-01_DICT_NAB_DICT_origcopy_v1.csv,05/16/2023
phs002544,rad_018_778-01_DICT_NAB_DICT_transformcopy_v1.csv,05/16/2023
phs002544,rad_018_778-01_DICT_SERS_DICT_origcopy_v1.csv,05/16/2023
phs002544,rad_018_778-01_DICT_SERS_DICT_trasnformcopy_v1.csv,05/16/2023
phs002546,rad_014_328-01_DICTs_origcopy_v1.csv,04/28/2023
phs002546,rad_014_328-01_DICT_origcopy_v1.csv,04/28/2023
phs002546,rad_014_328-01_META_origcopy_v1.csv,04/28/2023
phs002553,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,05/26/2023
phs002569,rad_023_619-01_DICT_connect_DICT_transformcopy_v1.csv,05/02/2023
phs002569,rad_023_619-01_DICT_connect_origcopy_v1.csv,05/02/2023
phs002573,rad_vpod_net_DATA_tech_DICT_origcopy_v1.csv,05/26/2023
phs002585,rad_023_591-01_META_Clinical_origcopy_v1.csv,04/28/2023
phs002609,Rad_023_613-01_DICT_origcopy_v1.csv,12/09/2022
phs002609,Rad_023_613_01_META_origcopy_v1.csv,12/09/2022
phs002682,dictionary_tier2_3_2023-03-28_v1.csv,03/28/2023
phs002699,rad_022_578-01_DICT_VALID_origcopy_v1.csv,05/02/2023
phs002699,rad_022_578-01_DICT_VALID_transformopy_v1.csv,05/02/2023
phs002700,rad_014_331-01_DICT_WUSTL1_DICT_origcopy_v1.csv,05/16/2023
phs002700,rad_014_331-01_DICT_WUSTL1_DICT_transformcopy_v1.csv,05/16/2023
phs002708,20230131_project7_META_transformcopy_v1.json,01/31/2023
phs002708,20230131_README_v1.html,01/31/2023
phs002736,dictionary_tier2_3_2023-03-28_v1.csv,03/28/2023
phs002737,dictionary_tier2_3_2023-03-28_v1.csv,03/28/2023
phs002738,dictionary_tier2_3_2023-03-28_v1.csv,03/28/2023
phs002778,rad_018_793-01_DICT_origcopy_v1.csv,05/16/2023
phs002778,rad_018_793-01_DICT_transformcopy_v1.csv,05/16/2023
phs002874,20230131_project51_META_transformcopy_v1.json,01/31/2023
phs002874,20230131_README_v1.html,01/31/2023
phs002964,rad_022_579-01_DICT_longitudinal_smell_test_DICT_origcopy_v1.csv,05/02/2023
phs002964,rad_022_579-01_DICT_longitudinal_smell_test_DICT_transformcopy_v1.csv,05/02/2023
phs003027,dictionary_tier2_3_2023-03-28_v1.csv,03/28/2023
phs002521,20230608_project67_DICT_origcopy_v1.csv,06/08/2023
phs002521,20230608_project67_DICT_transformcopy_v1.csv,06/08/2023
phs002521,20230608_project67_META_origcopy_v1.json,06/08/2023
phs002521,20230608_project67_META_transformcopy_v1.json,06/08/2023
phs002521,20230608_README_v1.html,06/08/2023
